id,disciplina,assunto,subassunto,competencia,habilidade,prioridade_enem,ativo
1,Biologia,Bioquímica,Constituintes Inorgânicos da Célula,,,3,True
2,Biologia,Bioquímica,Glicídios,,,3,True
3,Biologia,Introdução à Biologia,Características Gerais dos Seres Vivos,,,3,True
4,Biologia,Introdução à Biologia,Método Científico,,,3,True
5,Biologia,Introdução à Biologia,Níveis de Organização,,,3,True
6,Filosofia/Sociologia,Filosofia Antiga,Surgimento da Filosofia,,,3,True
7,Física,Cinemática,Introdução à Cinemática,,,3,True
8,Física,Cinemática,Movimento Uniforme,,,3,True
9,Geografia,Astronomia e Cartografia,Movimentos da Terra,,,3,True
10,Geografia,Astronomia e Cartografia,Orientações e Coordenadas Geográficas,,,3,True
11,Gramática,Ortografia,Acentuação e Hífen,,,3,True
12,História Geral,Antiguidade Oriental,Pré-História,,,3,True
13,História do Brasil,Brasil Colonial,Chegada Portuguesa,,,3,True
14,História do Brasil,Brasil Colonial,Povos indígenas,,,3,True
15,Interpretação de texto,Teoria da Comunicação,Texto Verbal: Análise e Estrutura,,,3,True
16,Literatura,Introdução à Literatura,Introdução à Literatura,,,3,True
17,Matemática,Matemática Básica,As quatro operações,,,3,True
18,Matemática,Matemática Básica,Múltiplos e Divisores,,,3,True
19,Química,Química Básica,Análise Imediata,,,3,True
20,Química,Química Básica,"Matérias, Substâncias e Misturas",,,3,True
21,Biologia,Bioquímica,Carboidratos,,,3,True
22,Biologia,Bioquímica,Enzimas,,,3,True
23,Biologia,Bioquímica,Lipídios,,,3,True
24,Biologia,Bioquímica,Proteínas,,,3,True
25,Biologia,Bioquímica,Sais Minerais,,,3,True
26,Biologia,Bioquímica,Vitaminas,,,3,True
27,Biologia,Bioquímica,Água,,,3,True
28,Filosofia/Sociologia,Filosofia Antiga,Pré-Socráticos,,,3,True
29,Física,Cinemática,Movimento Uniformemente Variado,,,3,True
30,Física,Cinemática,Vetores,,,3,True
31,Geografia,Astronomia e Cartografia,Cartografia - Escala,,,3,True
32,Geografia,Astronomia e Cartografia,Projeções Cartográficas,,,3,True
33,Gramática,Ortografia,Questões Ortográficas,,,3,True
34,História Geral,Antiguidade Oriental,Mesopotâmia,,,3,True
35,História do Brasil,Brasil Colonial,Capitanias Hereditárias e Invasão Francesa,,,3,True
36,Matemática,Matemática Básica,Potenciação e Radiciação,,,3,True
37,Matemática,Matemática Básica,Sistema de Numeração e Métrico Decimal,,,3,True
